samplename	original_varname	acc_varname	groupid	count	percentage	notes
Kolaczek_h2	Alnus undiff.	Alnus	TRSH	6	1.080108	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Kolaczek_h2	Betula undiff.	Betula	TRSH	21	3.780378	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Kolaczek_h2	Calluna vulgaris	Calluna vulgaris	TRSH	1	0.180018	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Kolaczek_h2	Fagus sylvatica	Fagus	TRSH	10	1.80018	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Kolaczek_h2	Picea abies	Picea abies-type	TRSH	28.5	5.1305131	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Kolaczek_h2	Pinus sylvestris type	Pinus sylvestris-type	TRSH	455	81.908191	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Kolaczek_h2	Quercus	Quercus	TRSH	7	1.260126	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Kolaczek_h2	Salix undiff.	Salix	TRSH	1	0.180018	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Kolaczek_h2	Artemisia	Artemisia	HERB	2	0.360036	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Kolaczek_h2	Avena-type	Avena-type	HERB	2	0.360036	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Kolaczek_h2	Brassicaceae	Brassicaceae	HERB	4	0.72007201	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Kolaczek_h2	Cerealia undiff.	Cerealia-type	HERB	1	0.180018	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Kolaczek_h2	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	1	0.180018	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Kolaczek_h2	Plantago lanceolata	Plantago lanceolata-type	HERB	1	0.180018	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Kolaczek_h2	Poaceae undiff.	Poaceae	HERB	8	1.440144	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Kolaczek_h2	Polygonum aviculare-type	Polygonum aviculare-type	HERB	1	0.180018	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Kolaczek_h2	Rumex acetosa-type	Rumex acetosa-type	HERB	2	0.360036	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Kolaczek_h2	Secale cereale	Secale cereale	HERB	1	0.180018	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Kolaczek_h2	Triticum-type	Triticum-type	HERB	2	0.360036	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Kolaczek_h2	Tricticum-type cf.	Triticum-type	HERB	1	0.180018	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Kolaczek_h2	Sphagnum	Sphagnum	NOPO	21		GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
